"タイトル","説明","品物番号","定価","note",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400EW LA9","25100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・4000 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400EW LE9","22100","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器（別売）をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400HN LA9","29100","",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400HN LE9","26100","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器（別売）をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400HV LA9","29100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400HV LE9","26100","受注品",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器（別売）をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4400HW LA9","29100","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形2灯器具相当　FLR40形2灯・4000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>省エネタイプ・4000 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4400HW LE9","26100","受注品",
"40形　ライトバー　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500ED LE9","25600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4500ED LR9","28600","",
"40形　ライトバー　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500EL LE9","25600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4500EL LR9","28600","",
"40形　ライトバー　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500EN LE9","25600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4500EN LR9","28600","",
"40形　ライトバー　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500EV LE9","25600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4500EV LR9","28600","",
"40形　ライトバー　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500EW LE9","25600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・5200 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4500EW LR9","28600","",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600ED LE9","29600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4600ED LR9","32600","",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600EL LE9","29600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4600EL LR9","32600","",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600EN LE9","29600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4600EN LR9","32600","",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600EV LE9","29600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4600EV LR9","32600","",
"40形　ライトバー　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4600EW LE9","29600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・6900 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4600EW LR9","32600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>デジタル調光タイプ・一般タイプ・2000 lmタイプ・昼白色<br>Ra83<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4100ENT DZ9","24600","受注品",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型1灯器具相当　Hf32形定格出力型・2500 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>デジタル調光タイプ・一般タイプ・2500 lmタイプ・昼白色<br>Ra83<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4200ENT DZ9","26100","受注品",
"40形　ライトバー　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>電磁波低減タイプ・3200 lmタイプ・昼白色・非調光<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NNL4300CNT LE9","31800","受注品",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>デジタル調光タイプ・一般タイプ・3200 lmタイプ・昼白色<br>Ra83<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4300ENT DZ9","26600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）・調色調光タイプ　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（調色）　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>アレンジ調色タイプ・3200 lmタイプ<br>Ra83<br>調色範囲：昼白色（5000K）～電球色（2700K）<br>注）アレンジ調色専用コントローラ（別売）と組み合わせてご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4300EXJ DK9","34600","受注品",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（調色）　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>制御方式：無線通信920MHz帯（WiLIA）<br>WiLIA無線調光・3200 lmタイプ<br>Ra83<br>調光範囲（約5％～100％）<br>調色範囲：昼白色（5000K）～電球色（2700K）<br>注）WiLIA無線調光専用コントローラと組み合わせてご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4300EXJ RK9","39600","受注品",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　LiBecoM（リベコム）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（調色）　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約5～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>アレンジ調色タイプ・3200 lmタイプ<br>Ra83<br>調光範囲（約5％～100％）<br>調色範囲：昼白色（5000K）～電球色（2700K）<br>注）適合コントローラ（別売）と組み合わせてご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4300EXJ RM9","39600","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>高演色タイプ・3200 lmタイプ・昼白色・調光<br>Ra95<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNL4300WNZ LA9","27300","",
